student_id,study_hours,attendance_rate,assignment_score,midterm_score,parent_support,internet_access,passed
1,2.5,0.76,65,58,low,yes,0
2,4.0,0.88,78,72,medium,yes,1
3,5.5,0.91,84,79,high,yes,1
4,1.5,0.63,50,45,low,no,0
5,3.2,0.8,70,67,medium,yes,1
6,2.0,0.68,55,52,low,yes,0
7,6.0,0.95,90,88,high,yes,1
8,4.8,0.89,82,76,medium,yes,1
9,1.8,0.6,48,44,low,no,0
10,3.6,0.84,74,69,medium,yes,1
11,5.2,0.92,88,81,high,yes,1
12,2.3,0.71,60,55,low,no,0
13,4.4,0.86,79,74,medium,yes,1
14,1.9,0.66,53,49,low,no,0
15,5.8,0.94,91,87,high,yes,1
16,3.0,0.78,68,63,medium,yes,1
17,2.1,0.69,57,50,low,yes,0
18,4.9,0.9,85,78,high,yes,1
19,3.4,0.82,72,66,medium,yes,1
20,1.7,0.64,51,46,low,no,0
